Financial_Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,6654,6654,39,39,37,37,37,38,38
Reserves,2975,3681,10600,10522,12773,16024,15591,16359,17336
Borrowings,8038,7266,5883,6049,3839,3176,3855,4805,5702
Other Liabilities,3595,3763,4016,4268,5237,5431,6036,6510,7150
Total Liabilities,21262,21364,20538,20878,21886,24668,25519,27712,30226
Fixed Assets,15516,14037,13573,12555,13626,14147,14784,15732,17425
CWIP,128,168,520,1740,1006,1034,1871,2395,2497
Investments,2740,3505,2424,2816,4033,5704,3524,4462,5119
Other Assets,2878,3654,4021,3767,3221,3783,5340,5123,5185
Total Assets,21262,21364,20538,20878,21886,24668,25519,27712,30226
