Financial_Metric,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,35,35,35,35,35,35,35,36,36,36,36,36,36
Reserves,3809,4676,5241,6811,7663,8862,9636,13133,15361,17424,18600,20667,20843
Borrowings,1288,1200,917,881,1293,3403,2803,3146,2230,2129,2725,1656,1682
Other Liabilities,1028,1418,1805,1737,2175,2842,3019,3629,3886,4159,4973,5566,5297
Total Liabilities,6160,7329,7998,9463,11166,15142,15493,19944,21513,23749,26334,27925,27859
Fixed Assets,1782,2194,3004,3050,2599,3589,6182,6163,6216,7282,7481,9591,9656
CWIP,133,758,511,264,710,1427,1129,1197,997,1054,2797,1930,2777
Investments,2203,2244,1662,3030,4042,5434,2286,6358,8500,9033,8683,7556,6943
Other Assets,2042,2132,2820,3118,3814,4691,5896,6227,5800,6380,7373,8848,8482
Total Assets,6160,7329,7998,9463,11166,15142,15493,19944,21513,23749,26334,27925,27859
