Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,15,23,23,23,23,23,45,45,44,44,44,44,44
Reserves,762,909,1208,1589,1732,1991,2031,1778,1718,2032,2259,2403,2585
Borrowings,115,38,36,671,473,326,110,210,101,282,91,94,74
Other Liabilities,324,333,410,409,376,458,633,644,656,692,703,728,891
Total Liabilities,1216,1302,1676,2692,2603,2798,2819,2678,2520,3050,3096,3269,3594
Fixed Assets,397,396,453,1918,1994,1802,1680,1459,1132,1344,1245,1114,1039
CWIP,47,12,29,67,22,30,36,8,6,3,6,8,9
Investments,163,296,501,104,128,314,187,156,255,303,293,442,624
Other Assets,609,599,693,604,460,652,915,1055,1126,1400,1551,1706,1922
Total Assets,1216,1302,1676,2692,2603,2798,2819,2678,2520,3050,3096,3269,3594
