Financial_Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,140,140,140,140,140,140,140,140,140,140,280
Reserves,1975,2430,2872,3507,4176,5218,6194,7446,7791,9493,10336
Borrowings,145,0,0,0,0,96,113,108,83,81,93
Other Liabilities,833,882,1186,1453,1871,2094,2606,3413,4614,4510,4872
Total Liabilities,3093,3452,4198,5100,6187,7548,9054,11107,12628,14225,15581
Fixed Assets,1956,2019,2117,2432,2877,3557,4321,5002,5734,6603,7207
CWIP,254,267,352,386,478,777,847,1379,1434,1396,1527
Investments,308,327,784,1316,1778,630,2288,2626,1522,2222,2926
Other Assets,575,839,945,966,1054,2584,1598,2101,3939,4003,3921
Total Assets,3093,3452,4198,5100,6187,7548,9054,11107,12628,14225,15581
