Financial_Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,202.74,213.33,204.5,97.83,122.94,135.59,42.79,120.64,151.12,193.97,191.58,215.13,244.0
Expenses,203.97,209.92,204.85,100.57,124.69,131.03,45.94,120.7,151.36,176.16,173.9,198.83,231.99
Operating Profit,-1.23,3.41,-0.35,-2.74,-1.75,4.56,-3.15,-0.06,-0.24,17.81,17.68,16.3,12.01
OPM,-0.61,1.6,-0.17,-2.8,-1.42,3.36,-7.36,-0.05,-0.16,9.18,9.23,7.58,4.92
Other Income,0.84,0.52,0.66,0.74,0.94,175.19,0.66,0.65,0.66,0.64,0.6,1.14,0.78
Interest,14.74,14.63,14.25,15.34,15.53,14.57,15.35,16.54,11.06,16.05,15.21,15.76,15.82
Depreciation,4.62,4.44,4.58,3.79,3.75,3.59,3.7,3.88,3.5,3.58,3.52,3.51,3.44
Profit before tax,-19.75,-15.14,-18.52,-21.13,-20.09,161.59,-21.54,-19.83,-14.14,-1.18,-0.45,-1.83,-6.47
Tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Net Profit,-19.75,-15.14,-18.52,-21.14,-20.09,161.59,-21.53,-19.84,-14.14,-1.19,-0.45,-1.83,-6.46
EPS in Rs,-0.68,-0.52,-0.64,-0.73,-0.69,5.55,-0.74,-0.68,-0.49,-0.04,-0.02,-0.06,-0.22
Raw PDF,,,,,,,,,,,,,
