index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,4630,21773,69233,17748,113384,62568,35265,586,14964,113384
Mar 2014,5232,29466,84220,22562,141480,74252,50069,423,16736,141480
Mar 2015,5232,33207,96243,26102,160784,91191,53681,220,15693,160784
Mar 2016,5232,38738,108545,26797,179312,115094,45611,919,17688,179312
Mar 2017,5232,44634,118988,26809,195662,137678,38264,1165,18555,195662
Mar 2018,5232,49194,131503,39425,225354,156198,37669,1224,30264,225354
Mar 2019,5232,53857,146376,41916,247380,172740,37631,1296,35713,247380
Mar 2020,5232,59464,148270,43706,256671,181112,35177,1431,38951,256671
Mar 2021,5232,64704,143232,42539,255708,183726,24838,1486,45659,255708
Mar 2022,6975,69272,134696,40008,250950,191773,12854,3788,42536,250950
Mar 2023,6975,76051,128584,40615,252225,185437,13772,3489,49527,252225
Mar 2024,9301,77845,123516,40168,250829,177761,18197,4163,50708,250829
Sep 2024,9301,82760,122568,40668,255297,174178,23767,3410,53941,255297
