index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,9717.0,5901.0,3816.0,39.0,21.0,5325.0,5739.0,-7226.0,0.0,-7231.0,-2.52
Mar 2022,10240.0,5590.0,4649.0,45.0,19.0,5316.0,5913.0,-6561.0,0.0,-6563.0,-2.04
Jun 2022,10410.0,6082.0,4328.0,42.0,84.0,5901.0,5804.0,-7293.0,0.0,-7297.0,-2.27
Sep 2022,10615.0,6517.0,4097.0,39.0,96.0,6129.0,5656.0,-7591.0,0.0,-7596.0,-2.36
Dec 2022,10621.0,6440.0,4181.0,39.0,38.0,6323.0,5886.0,-7990.0,0.0,-7990.0,-2.49
Mar 2023,10532.0,6322.0,4210.0,40.0,71.0,5002.0,5704.0,-6424.0,-0.0,-6419.0,-1.32
Jun 2023,10656.0,6499.0,4156.0,39.0,21.0,6398.0,5616.0,-7837.0,0.0,-7840.0,-1.61
Sep 2023,10716.0,6435.0,4282.0,40.0,34.0,6569.0,5667.0,-7920.0,10.0,-8738.0,-1.79
Dec 2023,10673.0,6324.0,4349.0,41.0,780.0,6518.0,5598.0,-6987.0,-0.0,-6986.0,-1.44
Mar 2024,10607.0,6274.0,4333.0,41.0,32.0,6280.0,5751.0,-7666.0,0.0,-7675.0,-1.53
Jun 2024,10508.0,6304.0,4205.0,40.0,256.0,5519.0,5369.0,-6427.0,0.0,-6432.0,-0.95
Sep 2024,10932.0,6383.0,4550.0,42.0,300.0,6614.0,5404.0,-7168.0,0.0,-7176.0,-1.03
Dec 2024,11117.0,6405.0,4712.0,42.0,250.0,5940.0,5629.0,-6607.0,0.0,-6609.0,-0.95
